imo,vessel_name,gross_tonnage,type,year_build,flag
9238064,DANIEL A,14193,Container Ship,2001,Turkey (TUR)
9719056,DANIEL K. INOUYE,48409,Container Ship,2018,United States of America (USA)
9438080,DANUM 159,9009,Container Ship,2007,Malaysia (MYS)
9477268,DANUM 160,9689,Container Ship,2008,Malaysia (MYS)
9238870,DANUM 168,13764,Container Ship,2001,Malaysia (MYS)
9406271,DANUM 173,8766,Container Ship,2006,Malaysia (MYS)
9298648,DAPHNE,35881,Container Ship,2006,Liberia (LBR)
9445576,DEBUSSY,41358,Container Ship,2009,Liberia (LBR)
9849643,DEL MONTE GOLD,36796,Container Ship,2020,Panama (PAN)
9869667,DEL MONTE HARVESTER,36796,Container Ship,2020,Panama (PAN)
9869693,DEL MONTE PRIDE,36796,Container Ship,2021,Panama (PAN)
9849655,DEL MONTE ROSE,36796,Container Ship,2020,Panama (PAN)
9869679,DEL MONTE SPIRIT,36796,Container Ship,2020,Panama (PAN)
9869681,DEL MONTE VALIANT,36796,Container Ship,2020,Panama (PAN)
9793715,DELAWARE TRADER,31368,Container Ship,2018,Malta (MLT)
9253301,DELI,41078,Container Ship,2003,Comoros (COM)
9341110,DELOS WAVE,28616,Container Ship,2007,Marshall Islands (MHL)
9232101,DELPHIA,50242,Container Ship,2002,Tuvalu (TUV)
9763710,DELPHIS BOTHNIA,25715,Container Ship,2016,"Hong Kong, China (HKG)"
9763722,DELPHIS FINLAND,25715,Container Ship,2016,"Hong Kong, China (HKG)"
9780653,DELPHIS GDANSK,25715,Container Ship,2017,"Hong Kong, China (HKG)"
9780665,DELPHIS RIGA,25715,Container Ship,2017,"Hong Kong, China (HKG)"
9298636,DEMETER,35881,Container Ship,2005,Liberia (LBR)
9344241,DENEB J,8280,Container Ship,2006,Antigua and Barbuda (ATG)
9278117,DERBY D,40030,Container Ship,2004,Liberia (LBR)
9610169,DETROIT EXPRESS,41286,Container Ship,2014,"Hong Kong, China (HKG)"
9822853,DETTIFOSS,26169,Container Ship,2020,Faroe Islands (FRO)
9406843,DEVON,9957,Container Ship,2008,Portugal (MAR) (PMD)
9344239,DIANA J,8280,Container Ship,2006,Antigua and Barbuda (ATG)
9385532,DIANE A,17687,Container Ship,2008,Turkey (TUR)
9222302,DIAPOROS,73157,Container Ship,2001,Liberia (LBR)
9250995,DIMITRA C,74071,Container Ship,2002,Malta (MLT)
9210074,DIMITRIS C,37113,Container Ship,2001,Malta (MLT)
9189354,DIMITRIS Y,66526,Container Ship,2000,Liberia (LBR)
